"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"185","Georgetown",31,39.9,70.7,24.8,62.1,0.4,7.6,22.4,0.342,13.4,18,0.744,11.9,23.6,35.5,11.8,7.2,3.8,13.4,16.2,0.501,0.462,148.6,31.4,70.4,49.7,47.5,15.9,10,10.9,1.1,48.5,98.6,107.5,-8.8,2222.1,71.9,1.475,0.9,0.5,0.216,6,25,0.194,"Big East","DC",-0.97244480327122,1
"186","UMass Lowell",31,40.3,70.7,26.8,60.2,0.445,5.9,19.3,0.306,11.2,15.9,0.702,10.1,24.9,35.1,11.7,7.3,4.2,12.4,16,0.521,0.494,145.3,29.6,73.1,51.3,43.6,15.5,10.5,11,1.2,50.7,101.1,94.1,7,2167.4,69.4,1.436,0.9,0.6,0.185,15,16,0.484,"AM East","MA",0.0268669716009599,3
"187","Western Carolina",32,40.5,70.7,24.6,61.3,0.402,10,31.3,0.319,11.5,17,0.673,11.3,25.4,36.7,12.9,4.9,2.4,12.4,17,0.509,0.483,139.4,29.8,72.7,50.4,52.4,15.2,6.9,7.1,1.2,47.3,100.3,109.7,-9.4,2253.5,69.6,1.524,1,0.4,0.187,11,21,0.344,"SoCon","NC",-0.853479115786432,2
"188","Georgia State",29,40.4,70.7,24.9,62.3,0.4,7.6,23.1,0.33,13.2,18.4,0.72,12.8,23.7,36.5,13.5,8.8,4.5,11.7,16.1,0.498,0.461,145,33.7,70.8,51,54.2,14.1,12.5,12.8,1.1,54.1,100.9,93.8,7,2031.3,69.3,1.542,1.2,0.8,0.213,18,11,0.621,"Sun Belt","GA",0.467040015294668,3
"189","California Baptist",34,40.2,70.6,24.4,55.9,0.437,8,24,0.333,13.8,20.4,0.673,9.8,26.5,36.3,15.9,5.2,2.7,13.9,18.4,0.539,0.509,144.4,28.9,74.2,52.1,65.1,17.5,7.4,7.1,1.3,51.2,101.1,96.1,5,2376.3,69.6,1.651,1.1,0.4,0.246,18,16,0.529,"WAC","CA",0.0506601090979212,3
"190","Akron",34,40.1,70.6,24.3,52.9,0.46,7.8,22,0.354,14.2,20.6,0.689,9.4,24.6,33.9,11.6,5.9,3.2,11.4,15.8,0.563,0.533,150.3,30.4,74.7,53.3,47.9,15.4,9,9.2,1.3,52.2,109,96.7,12.3,2203.7,64.6,1.479,1,0.5,0.268,24,10,0.706,"MAC","OH",1.519886349535,4
"191","Washington",32,40.4,70.6,24.9,60.3,0.413,6.2,19.8,0.312,14.7,20.9,0.701,10.3,21.8,32,10.2,8.3,4.1,11.9,16.6,0.503,0.464,142.6,28.3,64.7,45.8,41,14.5,11.5,10.5,1.2,46,98.3,100.6,-2.3,2299.5,71.1,1.41,0.9,0.7,0.244,17,15,0.531,"Pac-12","WA",-0.722616859553171,3
"192","Florida",34,40.2,70.6,24.3,56.9,0.426,7.9,26.1,0.303,14.1,19.2,0.735,10.3,21.6,31.9,12.8,8.4,5,12.4,16,0.534,0.496,146.5,30.3,68.5,48.7,52.7,15.8,12.3,13.5,1.2,52.7,103.6,97.6,6,2316.7,67.8,1.527,1,0.7,0.248,20,14,0.588,"SEC","FL",0.520574574662816,4
"193","Boston University",35,40.4,70.6,25.5,56.2,0.454,7.5,21.2,0.354,12,16.3,0.739,9.5,24.1,33.6,11,5.6,2.4,12.1,15.6,0.552,0.521,154.7,30.5,75.9,53.4,43,15.9,8.5,6.6,1.3,48.5,106.1,101.7,4.3,2328.5,65.8,1.43,0.9,0.5,0.214,22,13,0.629,"Patriot","MA",0.354022612184115,2
"194","Denver",32,40.4,70.5,25.5,55.4,0.46,7.3,19.7,0.368,12.3,17.6,0.697,7,24.1,31.1,12.3,5.2,3.3,12.9,17.4,0.553,0.526,152.5,22.5,73.3,48.6,48.3,16.9,7.4,9.5,1.3,46.2,100.9,106.4,-5.5,2236.8,69.1,1.483,1,0.4,0.222,11,21,0.344,"Summit","CO",-0.692875437681976,2
"195","Bradley",31,40.2,70.5,25.8,58.1,0.444,7.8,23.1,0.337,11.2,16.2,0.689,10.7,26.8,37.6,13.5,6.4,4.6,13.5,17,0.536,0.511,147,32.1,77.5,55.1,52.4,17.1,9.2,13.1,1.2,53.9,102.5,94.8,7.7,2131.2,68.4,1.524,1,0.5,0.192,17,14,0.548,"MVC","IL",0.740661096509664,3
"196","Mississippi State",34,40.3,70.5,25.3,55.6,0.455,4.6,15.6,0.295,15.3,21.2,0.721,10.7,24.4,35.1,13.4,7.9,3.3,13.2,15.7,0.536,0.496,147.1,33.4,75.2,54.4,52.9,16.7,11.7,10.3,1.3,53,103.7,97.5,6.2,2310.4,67.4,1.529,1,0.6,0.274,18,16,0.529,"SEC","MS",0.954799333982274,3
"197","Mercer",33,40.3,70.5,25.1,54.9,0.457,8.1,23.2,0.351,12.2,15.8,0.77,7.5,23.4,30.9,14.3,6.2,3,12.4,15.2,0.565,0.531,157.8,24.8,73.6,49.9,57.1,16.5,9.2,8.9,1.3,51.5,104.8,105,-0.1,2218,66.8,1.571,1.2,0.5,0.221,16,17,0.485,"SoCon","GA",0.0982463840918346,2
"198","Indiana State",31,40.8,70.5,25,56.7,0.441,8.7,26.1,0.333,11.7,15,0.778,5.8,26.9,32.7,13.1,6,1.9,13.2,15.2,0.552,0.518,155.3,18,77.8,49,52.3,17.1,8.4,5.1,1.2,47.6,99,101.1,-2.1,2205.4,69.8,1.523,1,0.5,0.206,11,20,0.355,"MVC","IN",-0.645289162688068,2
"199","Texas State",29,40.2,70.4,25.5,55.2,0.462,6.3,16.9,0.373,13.2,17.5,0.752,9.6,23.1,32.7,12.7,6.7,3.6,12.3,17.1,0.555,0.519,158.7,30.9,72.5,52,49.7,16.2,10.1,11.4,1.3,51.3,106.2,95.4,10.9,1923.3,66,1.497,1,0.5,0.239,21,8,0.724,"Sun Belt","TX",0.812040509000534,4
"200","Army West Point",31,40.3,70.4,25.9,59.3,0.437,6.7,21,0.321,11.8,18.7,0.63,10.3,25.5,35.8,12.5,7.8,1.9,13.1,14.8,0.516,0.494,138.8,29.1,73.9,51.3,48.4,16.1,11,5.3,1.2,49.7,99.1,99.1,0,2202.1,70.5,1.484,1,0.6,0.199,15,16,0.484,"Patriot","NY",-0.103995284632296,3
"201","North Dakota",31,40.4,70.3,23.8,59,0.404,9,26,0.345,13.6,18.5,0.734,9.7,24.9,34.5,12,4,1.9,12,17.4,0.518,0.48,148.3,26.5,74.6,49.4,50.5,15,5.7,4.9,1.2,44.3,100.4,112.7,-12.3,2168.5,69.3,1.505,1,0.3,0.231,6,25,0.194,"Summit","ND",-1.15684161887264,2
"202","UC San Diego",29,40.1,70.2,24,54.2,0.444,9.1,24.7,0.37,13,17.4,0.748,5.8,24.3,30.1,13.6,5.8,1.8,12.6,14.6,0.562,0.528,156.2,18.5,73.8,46.8,56.7,16.7,8.3,4.6,1.3,48.3,101.5,102,-0.5,2005.3,69,1.567,1.1,0.5,0.24,13,16,0.448,"Big West","CA",-0.609599456442632,2
"203","Bellarmine",33,40.1,70.1,26.6,56,0.475,7.8,22.9,0.34,9.1,12.1,0.753,7,22.1,29.1,14.5,5.6,1.7,9.5,14.3,0.568,0.545,156.8,23.7,71.6,48.2,54.4,13.3,8.7,5.8,1.3,52.2,109,104.4,4.6,2123.2,64.2,1.544,1.5,0.6,0.163,20,13,0.606,"A-Sun","KY",0.276694915319008,2
"204","Charlotte",31,39.9,70,25.2,54.8,0.46,7.5,21.8,0.345,12.1,15.3,0.792,6.7,23.8,30.5,14,4.8,2.9,11.5,14.1,0.564,0.529,159.7,22.3,75.4,49.4,55.4,15.6,7.1,8,1.3,51,104.4,106.2,-1.8,2078.8,67.1,1.554,1.2,0.4,0.221,17,14,0.548,"C-USA","NC",-0.335978375227624,2
"205","Morehead State",34,40.1,70,25.5,56,0.456,8.3,23.1,0.36,10.6,15.9,0.667,10,25.8,35.8,16.1,5.9,5.8,13.5,15,0.551,0.53,148.3,31.3,73,53.2,62.9,17.5,8.7,14.7,1.2,57.9,104,94.3,9.7,2287.7,67.1,1.629,1.2,0.4,0.189,23,11,0.676,"OVC","KY",0.722816243386947,4
"206","St. Bonaventure",33,40.1,70,26.3,58.1,0.453,6.1,18.3,0.331,11.3,15.1,0.751,8.5,23.8,32.3,13.7,6.3,4.8,10.3,13.3,0.536,0.505,153.4,26.3,73.4,49.9,52,13.7,9.4,14.9,1.2,54.7,104.3,99.1,5.2,2214.3,66.9,1.52,1.3,0.6,0.195,23,10,0.697,"A-10","NY",0.181522365331181,3
"207","Cal State Fullerton",32,39.9,70,24.8,55.7,0.445,5.5,16.7,0.329,15,19.5,0.766,9.3,23,32.2,11.3,7.3,2,12.1,15.8,0.539,0.494,154,29.1,73.1,51,45.5,15.7,10.8,5.7,1.3,47.9,103.4,98.3,5.1,2166,67.8,1.455,0.9,0.6,0.269,21,11,0.656,"Big West","CA",0.306436337190203,3
"208","Wisconsin",33,40,69.9,24.7,58.5,0.422,6.5,21.1,0.306,14.1,19,0.743,8.7,25,33.7,11.1,5.3,2.9,8.7,16.8,0.518,0.477,147.1,25.1,76.2,49.9,44.8,11.4,7.8,7.8,1.2,48.6,103.6,97.7,5.9,2228.8,67.6,1.448,1.3,0.6,0.241,25,8,0.758,"Big Ten","WI",0.223160355950857,3
"209","Northern Kentucky",32,40.6,69.9,25.2,58.7,0.429,8.8,25.3,0.345,10.8,15.2,0.714,11.9,22.8,34.7,13.8,9.1,2.5,13.1,15.3,0.531,0.503,148.8,35.2,69.9,52.2,54.7,16.6,13.5,7.4,1.2,53,104.3,97.2,7.2,2144.1,66,1.547,1,0.7,0.185,20,12,0.625,"Horizon","KY",0.895316490239883,4
"210","UNLV",32,39.9,69.9,24.4,57.6,0.425,8.2,24.5,0.336,12.8,17.3,0.738,9.4,25.9,35.3,13.8,6.1,2.8,11.2,17.8,0.531,0.496,149.9,26.8,74.4,50.5,56.5,14.5,9.2,8.6,1.2,51.7,104,97.6,6.4,2150.7,67.3,1.565,1.2,0.5,0.222,18,14,0.563,"MWC","NV",0.657385115270317,4
"211","UCF",30,40.1,69.8,24.7,58.3,0.423,8.8,25.1,0.35,11.7,16.6,0.703,10.6,23.6,34.2,14.5,7,3.7,13,15.7,0.528,0.499,147.7,30.4,69.8,49.8,58.8,16.5,10.1,10.9,1.2,52.4,101.4,99,2.4,2065.1,68.7,1.588,1.1,0.5,0.201,18,12,0.6,"AAC","FL",-0.0385641565156661,3
"212","Hartford",32,40.2,69.8,25,55.6,0.449,9.3,25.1,0.369,10.6,15.3,0.69,7,24.2,31.2,12.2,6,3.2,12.2,15,0.555,0.533,150.9,22.5,72.3,48.2,48.8,16.2,8.9,8.8,1.3,49,102.8,106.2,-3.5,2173.7,67.7,1.488,1,0.5,0.191,12,20,0.375,"AM East","CT",-0.205116118994367,2
"213","Georgia",32,39.9,69.8,23.8,53.9,0.442,6.4,19.9,0.321,15.7,21,0.747,7.6,23.6,31.2,13.9,5.2,2.2,14.4,15,0.546,0.502,151.1,24.2,70.2,48,58.2,18.4,7.4,5.9,1.3,46.2,99.1,111.4,-12.3,2254.6,70.6,1.582,1,0.4,0.292,6,26,0.188,"SEC","GA",-1.33529015009981,1
"214","Utah",31,40.3,69.7,24.3,58,0.419,7.6,22.8,0.335,13.5,17.4,0.774,9.8,25.2,35.1,13.5,4.6,2.9,12.3,16.5,0.526,0.484,152.7,28.5,71.8,50.3,55.5,15.6,6.7,7.5,1.2,48.5,101.9,103.6,-1.7,2121.7,68,1.555,1.1,0.4,0.232,11,20,0.355,"Pac-12","UT",-0.556064897074478,2
"215","Saint Mary's",34,40,69.7,26.1,56.3,0.464,7.2,20.5,0.353,10.2,13.5,0.758,7.9,24.4,32.2,13.5,6.9,2.5,11.2,15.6,0.556,0.528,157.5,26.4,78.7,53.1,51.6,15.2,10.5,6.6,1.2,52.5,105.5,91.7,13.8,2247.1,66.1,1.516,1.2,0.6,0.182,26,8,0.765,"WCC","CA",0.782299087129345,4
"216","Alabama State",31,40.3,69.7,24.2,56.8,0.426,6.2,18.7,0.332,15,21.5,0.698,9.6,23.4,33,12,7.5,3.6,15.4,18.1,0.52,0.481,145.7,28.2,67.3,47.9,49.7,18.7,10.4,9.6,1.2,44.5,95.8,103.4,-7.6,2255.3,72.2,1.497,0.8,0.5,0.264,10,21,0.323,"SWAC","AL",-1.04977250013633,1
"217","Stetson",30,40.7,69.7,25.5,59.3,0.43,8.5,24.3,0.35,10.2,14.7,0.69,9.5,24.5,34,14.3,7,2.9,13,14.8,0.525,0.502,147,28,73.3,50.5,56.2,16.4,10.2,8.4,1.2,50.5,100.6,103.2,-2.6,2078.4,68,1.562,1.1,0.5,0.171,11,19,0.367,"A-Sun","FL",-0.466840631460886,2
"218","Omaha",30,40,69.6,25.2,58.4,0.431,7.1,19.9,0.355,12.2,16.7,0.731,8.3,23.8,32.1,10.9,4.8,2.6,13.6,19.2,0.525,0.492,151.7,23.7,71.2,47,43.4,17.1,6.7,6.9,1.2,40.8,97,116.3,-19.4,2153.4,71.9,1.434,0.8,0.4,0.209,5,25,0.167,"Summit","NE",-1.75167005629655,1
"219","High Point",32,41,69.5,25.3,57.2,0.442,6.5,19.4,0.335,12.5,19.6,0.64,9.8,25.2,34.9,12.5,6.5,4.7,13.3,17.3,0.523,0.499,141.6,28.3,70.7,49.8,49.5,16.7,9.3,12.7,1.2,48.3,99.5,99.8,-0.3,2235.7,68.1,1.495,0.9,0.5,0.219,14,18,0.438,"Big South","NC",-0.0920987158838234,3
"220","Prairie View A&M",27,40.5,69.5,24,56.1,0.428,6.3,18.3,0.345,15.2,21.6,0.703,10.4,23.3,33.8,11.4,8.5,3.1,17.4,21.2,0.524,0.484,147.6,31,66,48.9,47.7,20.8,11.6,8.2,1.2,41.7,94.9,104.2,-9.3,1978,72.3,1.477,0.7,0.5,0.271,8,19,0.296,"SWAC","TX",-0.788047987669805,1
"221","Gardner-Webb",31,39.9,69.5,25.3,57,0.443,7.4,22.5,0.329,11.5,16.4,0.701,9.4,26.5,35.9,13.2,7.3,4.7,13.4,18.3,0.536,0.508,147.3,28,74.8,52,52.2,17.2,10.5,14.6,1.2,52.6,100.8,93.1,7.7,2137.2,69.1,1.522,1,0.5,0.201,18,13,0.581,"Big South","NC",0.835833646497491,3
"222","Cincinnati",33,40,69.4,24.6,61,0.404,8.2,25.8,0.315,12.1,18,0.669,10.8,25,35.8,13.1,6.3,3.8,10.5,17.5,0.499,0.47,138.8,29.2,71.4,49.8,53.3,13.1,9.1,9.7,1.1,50.5,100.2,95.2,5,2285.5,69.2,1.533,1.2,0.6,0.198,18,15,0.545,"AAC","OH",-0.080202147135341,3
"223","Robert Morris",32,40.3,69.4,25.7,55.5,0.463,6,17.7,0.339,11.9,15.7,0.759,8.4,22.9,31.3,12.7,6,3.8,14.3,15.5,0.551,0.517,156.1,27.7,68.8,49.2,49.2,18.5,8.7,10.1,1.2,47.5,100.8,108.5,-7.7,2202.2,68.3,1.492,0.9,0.4,0.215,8,24,0.25,"Horizon","PA",-0.782099703295567,1
"224","North Alabama",30,40.2,69.4,25.1,63.4,0.395,8.3,26.2,0.316,11,14.6,0.753,10.7,24.5,35.2,10.1,6.8,3.5,11.8,18.6,0.493,0.46,146.4,27.4,71.8,48.2,40.4,14.4,9.6,9.4,1.1,44.4,97,95.8,1.2,2145.8,71.1,1.404,0.9,0.6,0.173,9,21,0.3,"A-Sun","AL",-0.924858528277305,3
"225","Loyola Marymount",29,40.3,69.3,24.8,54.5,0.454,7.2,21,0.345,12.6,17.4,0.719,7.4,21.7,29.1,11.1,5.4,1.7,13.2,17.8,0.552,0.521,151.9,23.8,73.3,48,45,17.4,8,4.9,1.3,41.5,101.2,108.2,-6.9,1986.1,68,1.45,0.8,0.4,0.23,11,18,0.379,"WCC","CA",-1.09735877513024,2
"226","Dayton",35,40.1,69.2,25.7,53.8,0.478,6.5,18.1,0.361,11.2,16.4,0.683,8.6,25.3,33.9,14.4,5.5,3.9,12.4,13.9,0.562,0.539,152.2,29.2,77,54.3,55.9,16.7,8.5,11.1,1.3,54.6,106.3,94,12.3,2278.6,64.9,1.559,1.2,0.4,0.208,24,11,0.686,"A-10","OH",0.758505949632386,4
"227","Creighton",35,40.4,69.2,25.6,57.2,0.448,6.7,21.8,0.308,11.3,15.3,0.738,8.9,27.9,36.8,13.3,5.5,4.3,14.1,13.6,0.537,0.506,149.4,27.3,72.4,51.7,52,17.9,7.9,10.1,1.2,52.1,99.4,95.4,4,2435.8,68.9,1.52,0.9,0.4,0.197,23,12,0.657,"Big East","NE",-0.199167834620127,3
"228","Troy",32,40.6,69.2,24.1,56.6,0.425,7.5,22.9,0.327,13.6,18.7,0.727,10.5,25.3,35.9,13.8,7.9,2.2,15.3,17.6,0.528,0.491,147.9,31.1,73.7,52.5,57.3,19,11.2,6.3,1.2,48.3,98.6,93.5,5.1,2245.3,69.1,1.573,0.9,0.5,0.24,20,12,0.625,"Sun Belt","AL",0.104194668466072,3
"229","UTEP",34,40.3,69.2,24.7,57.4,0.431,7.6,21.8,0.35,12.1,15.9,0.763,7.6,23.3,30.9,12.1,7.4,3.6,11.6,18.1,0.533,0.497,154.4,22.7,71.6,46.8,49,15.2,10.8,9.9,1.2,47.4,100.3,96.6,3.7,2344.3,68.5,1.49,1,0.6,0.212,20,14,0.588,"C-USA","TX",-0.103995284632296,3
"230","Eastern Michigan",31,40.9,69.1,25.2,58.6,0.431,6.3,20.5,0.308,12.4,17.8,0.695,7.7,25.6,33.3,10.1,5.8,3.2,13.8,17.5,0.516,0.485,143.4,22,72.2,47.3,40.2,17.1,8,8.1,1.2,41.1,94.7,104.1,-9.4,2262.9,71.3,1.402,0.7,0.4,0.211,10,21,0.323,"MAC","MI",-1.60891123131482,1
"231","Oklahoma",35,40.6,69.1,25.3,53.1,0.476,7.6,21.9,0.347,10.9,14.6,0.747,7.1,23.5,30.7,14,7.4,1.9,14.7,15.5,0.575,0.548,157,24.9,75.2,51.1,55.5,19.7,10.9,5.2,1.3,48.7,102,96,5.9,2370.3,66.8,1.555,1,0.5,0.205,19,16,0.543,"Big 12","OK",0.0744532465948754,3
"232","Texas Southern",32,40.2,69,25.1,57.9,0.433,5.6,17.9,0.314,13.2,19.5,0.679,11.2,26.6,37.8,10.7,5.6,5.2,14.8,17.7,0.514,0.482,142.6,32.3,72.4,53,42.7,18.1,7.9,13.6,1.2,47,97.9,93.8,4.2,2255.9,70.2,1.427,0.7,0.4,0.228,19,13,0.594,"SWAC","TX",-0.38951293459578,3
"233","Kansas State",31,40.2,69,24.1,57.4,0.42,8.4,24.3,0.346,12.3,17,0.726,8.4,23.5,31.8,12.5,7.3,1.6,11.5,17.1,0.527,0.494,149.3,24.5,72.1,47.7,51.6,14.9,10.7,4.9,1.2,46.7,100.7,98.5,2.3,2123.3,68.1,1.516,1.1,0.6,0.215,14,17,0.452,"Big 12","KS",-0.115891853380776,3
"234","Tennessee-Martin",30,39.9,68.9,25.4,61.2,0.415,6.8,22.8,0.299,11.3,16.1,0.7,11.2,24.8,36,11.8,6.6,4.4,13.3,18.1,0.5,0.471,141.4,30.4,70.5,49.9,46.3,16.2,9.3,12.2,1.1,47.2,96.8,103.4,-6.5,2134.5,71.3,1.463,0.9,0.5,0.184,8,22,0.267,"OVC","TN",-0.740461712675896,1
"235","Hawaii",28,39.9,68.9,23.8,54.1,0.441,8.1,22.7,0.358,13.1,17.6,0.744,8.9,25.5,34.4,12.3,3.5,2.1,13,16.8,0.552,0.516,154.3,29,76.7,53.8,51.6,17.3,5.3,5.5,1.3,46.3,103.4,96.3,7.1,1864.1,66.7,1.516,0.9,0.3,0.242,17,11,0.607,"Big West","HI",-0.252702393988279,3
"236","Sam Houston State",33,40.1,68.8,25.6,60.1,0.426,8.7,25.4,0.343,8.9,14.7,0.605,11.4,24.7,36.1,14.1,7.6,2.5,12.5,18,0.513,0.499,137.5,31.2,75.9,52.3,55.1,15.8,11.2,8.1,1.1,50.7,101,92.5,8.4,2250,68.1,1.551,1.1,0.6,0.148,19,14,0.576,"WAC","TX",0.371867465306833,3
"237","Texas",34,40.2,68.8,24.5,55.5,0.441,6.6,20,0.33,13.2,17.7,0.746,9.8,22.4,32.2,13.2,7.7,3.4,11.5,17.9,0.538,0.501,151.8,30.9,71,50.8,54.1,15.2,11.7,10.1,1.2,50.7,105.1,92.7,12.4,2225.4,65.1,1.541,1.2,0.7,0.239,22,12,0.647,"Big 12","TX",0.978592471479231,4
"238","Marist",30,40.5,68.8,25.4,57.9,0.439,7.5,21.8,0.344,10.4,14.5,0.719,8.8,25.5,34.3,9,5.8,3.4,12.4,15.6,0.531,0.504,150.2,25.9,73.5,50,35.3,16,8.6,9.8,1.2,45.3,100.8,99.9,0.9,2046.9,67.4,1.353,0.7,0.5,0.18,14,16,0.467,"MAAC","NY",-0.252702393988279,3
"239","New Hampshire",28,40,68.8,25.2,57.3,0.44,8.6,23.6,0.366,9.7,14.5,0.669,9.4,25.1,34.5,12.1,4.6,2.9,9.1,13.4,0.536,0.515,147.5,28.1,79.4,53.1,48.2,12.4,7.2,8.6,1.2,52.4,107.3,101.4,5.9,1794.6,64.1,1.482,1.3,0.5,0.169,15,13,0.536,"AM East","NH",0.669281684018797,2
"240","East Carolina",30,40.2,68.7,23.3,57.5,0.406,7.5,22.5,0.333,14.5,19.3,0.754,9.3,24.2,33.5,14.7,6.8,3.1,13,16.2,0.516,0.471,149.3,26.5,72.1,48.9,63.1,16.3,9.7,9,1.2,49,98,101.2,-3.2,2102.6,69.7,1.631,1.1,0.5,0.253,15,15,0.5,"AAC","NC",-0.66908230018502,1
"241","Monmouth",34,40.3,68.6,23.6,56.3,0.418,6.4,19.2,0.331,15.1,20.8,0.728,10,25.6,35.6,11.7,6.3,3.3,11.7,18.1,0.518,0.475,147.8,29.1,73.4,51.4,49.6,15,9.1,9.9,1.2,48,100.6,98.7,1.9,2319.1,67.7,1.496,1,0.5,0.269,21,13,0.618,"MAAC","NJ",0.556264280908254,3
"242","St. Francis (PA)",30,40.5,68.6,25.5,60.3,0.423,5.9,18.7,0.315,11.8,18.2,0.648,11.2,24.2,35.5,13,6.6,2.8,12.6,14.7,0.498,0.472,138.5,30.3,69,49.1,50.9,15.5,9.4,7.3,1.1,47.7,97.7,104.7,-7,2107,69.4,1.509,1,0.5,0.195,9,21,0.3,"NEC","PA",-0.912961959528828,1
"243","Georgia Tech",32,40.5,68.6,25.7,58.3,0.441,7.1,20.2,0.353,10,14.4,0.698,8.4,24.6,33,13.7,7.8,2.6,13.1,18,0.527,0.502,149.2,25.2,73,49.2,53.2,16.7,11,7.2,1.2,47.6,97.6,100.7,-3.1,2247.9,69.3,1.532,1,0.6,0.172,12,20,0.375,"ACC","GA",-0.217012687742842,1
"244","North Florida",31,40.3,68.5,23.4,56.2,0.416,9.5,28.2,0.339,12.2,16.8,0.727,8.5,24,32.5,12.7,5.5,4.8,14.7,15.7,0.534,0.501,148.2,25.3,65.2,46.2,54.3,18.6,7.9,10.8,1.2,46.8,97.2,101,-3.8,2184.2,69.9,1.543,0.9,0.4,0.217,11,20,0.355,"A-Sun","FL",-1.27580730635742,2
"245","Rutgers",32,40.6,68.5,25.8,58,0.445,6.2,18.3,0.339,10.7,15.2,0.7,9.8,24.6,34.4,15.2,7,4,11.5,15.8,0.525,0.499,148.4,29.1,73.9,51.4,58.8,15,10.5,11.7,1.2,53.5,102.1,99.1,2.9,2147.7,66.1,1.588,1.3,0.6,0.184,18,14,0.563,"Big Ten","NJ",0.514626290288577,3
"246","Canisius",32,40.3,68.5,24.3,60.7,0.4,7.4,24.1,0.306,12.6,18.1,0.693,10.1,23.6,33.7,13,6,2.6,11.8,17.2,0.494,0.461,139.9,27.1,74.4,48.9,53.5,14.6,8.5,6.6,1.1,44.8,96.6,100.8,-4.2,2268.8,70.3,1.535,1.1,0.5,0.207,11,21,0.344,"MAAC","NY",-1.38882470946797,1
"247","Texas Christian",34,40.2,68.5,25.4,57.7,0.439,5.5,18.3,0.302,12.2,18.1,0.674,12.4,25.5,37.9,13.6,6.4,4.1,14.5,15.5,0.516,0.487,141.6,37.3,74.9,56.3,53.8,17.9,9.4,11.2,1.2,51.7,100.2,95,5.2,2323,68,1.538,0.9,0.4,0.212,21,13,0.618,"Big 12","TX",0.122039521588789,3
"248","Wichita State",28,40.5,68.5,23.5,58.4,0.403,7.5,24.2,0.312,13.9,18.5,0.753,11,25,36,12,7.5,4.6,12.9,15.9,0.51,0.467,146.7,31.2,73.2,51.9,51.1,16.1,10.7,12.6,1.2,50.2,98.4,95.4,3,1948,68.8,1.511,0.9,0.6,0.239,15,13,0.536,"AAC","KS",0.223160355950857,3
"249","West Virginia",33,39.8,68.5,23.6,57.1,0.413,6.3,19.2,0.328,14.9,20.6,0.724,10.3,21.2,31.5,10.5,7.8,4.5,12.4,17.4,0.511,0.468,146.5,29.5,67.1,47.4,44.4,15.6,11.3,13.1,1.2,45.9,99.3,100,-0.7,2275.8,69.2,1.444,0.8,0.6,0.262,16,17,0.485,"Big 12","WV",-0.347874943976107,3
"250","Charleston Southern",31,40.2,68.5,24,59,0.408,8.3,26.8,0.308,12.1,17.9,0.676,10.1,25.1,35.2,12,6.5,3,14.7,16.2,0.507,0.478,139.2,27.4,75.3,50.1,49.8,17.9,9.1,8.1,1.2,45,95,105.5,-10.5,2233.2,71.8,1.498,0.8,0.4,0.206,6,25,0.194,"Big South","SC",-1.29365215948014,1
"251","Lehigh",32,40.1,68.4,24.9,55.7,0.447,8.1,21.3,0.382,10.6,14.3,0.741,6.5,25.4,31.9,14.2,4.4,3.6,13.3,16.9,0.548,0.52,157,20.6,73.2,48.1,56.9,17.5,6.4,8.1,1.2,47.1,99,103.2,-4.2,2213.1,68.9,1.569,1.1,0.3,0.19,13,19,0.406,"Patriot","PA",-1.09141049075601,1
"252","George Washington",30,40.5,68.4,25.3,59,0.428,7.1,21.1,0.338,10.7,15.3,0.698,7.7,24.5,32.2,12.3,6.9,4.2,12.6,17.1,0.516,0.489,146.4,22.4,69.5,46.2,48.5,16,9.7,10.5,1.2,46.1,96.2,102.4,-6.3,2132.8,70.2,1.485,1,0.5,0.181,12,18,0.4,"A-10","DC",-0.984341372019697,1
"253","Oklahoma State",30,40.9,68.4,25.1,57.9,0.434,5.4,18.2,0.295,12.7,19.1,0.667,11.2,24.9,36.1,12.7,8.5,5.4,15.1,17.4,0.51,0.48,139.6,32.3,70.3,51.5,50.4,18.4,11.9,15.7,1.2,49.4,95.9,92.1,3.8,2139.1,69.7,1.504,0.8,0.6,0.22,15,15,0.5,"Big 12","OK",0.0685049622206378,3
"254","Dartmouth",25,40.6,68.4,24.3,58.4,0.417,8.9,26.2,0.339,10.8,14,0.772,8.3,24.2,32.5,10.4,6.6,3.4,11.5,16.1,0.526,0.493,152.8,24.4,74.4,48.9,42.9,15,9.7,9.6,1.2,46,100.3,100,0.2,1704.7,67.2,1.429,0.9,0.6,0.186,9,16,0.36,"Ivy","NH",-0.294340384607951,2
"255","Oregon State",31,40.5,68.3,25.6,57.9,0.443,5.7,17.8,0.319,11.3,16,0.709,8.5,21.3,29.8,12.1,6,3,12.5,17.5,0.521,0.492,147.1,25.6,66.5,45.6,47.3,16,8.6,8.5,1.2,42.7,98.5,112.7,-14.2,2149.8,68.4,1.473,1,0.5,0.196,3,28,0.097,"Pac-12","OR",-1.50184211257851,1
