"","Team","GP","MPG","PPG","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","ORB","DRB","RPG","APG","SPG","BPG","TOV","PF","TS%","eFG%","Total S%","ORB%","DRB%","TRB%","AST%","TOV%","STL%","BLK%","PPS","FIC40","ORtg","DRtg","eDiff","Poss","Pace","HOB","Ast/TO","Stl/TO","FT/FGA","W's","L's","Win %","Conference","State","TER","Cluster"
"140","New Mexico State",34,40.1,72.5,25.6,56.3,0.454,7.9,23.9,0.33,13.5,19.2,0.702,10.6,26.6,37.1,13.8,5,4.1,14.1,15.9,0.554,0.524,148.7,32.9,75.3,55.1,53.9,17.7,7.2,12.2,1.3,54.3,105.2,93.8,11.4,2343.3,68.8,1.539,1,0.4,0.239,27,7,0.794,"WAC","NM",0.490833152791622,4
"141","Louisiana-Monroe",31,40.4,72.5,27.1,59.6,0.454,7.1,20.9,0.338,11.3,15.5,0.724,8.3,22.9,31.3,15,7.2,2.7,12.7,16.8,0.541,0.514,151.6,24.9,67.6,46.4,55.5,16,10.1,7.8,1.2,50.8,101.8,104.5,-2.6,2205.7,70.4,1.555,1.2,0.6,0.189,13,18,0.419,"Sun Belt","LA",-0.692875437681979,2
"142","USC",34,40.3,72.4,26.8,58.9,0.455,6.8,18.9,0.357,12.1,18.2,0.664,11,28,39,14.3,5,4.4,12.2,15.6,0.536,0.512,147.6,32.5,74.4,54.6,53.3,15.3,7.3,11.1,1.2,56.7,105.3,96,9.3,2336.1,68.2,1.533,1.2,0.4,0.205,26,8,0.765,"Pac-12","CA",0.817988793374777,4
"143","Oregon",35,40.2,72.3,26.7,59.3,0.451,7.1,21.4,0.333,11.7,17.3,0.679,9.6,23.8,33.5,12.2,6.8,3.5,11.7,16.6,0.536,0.511,146.3,28.7,69.8,49.5,45.5,14.8,9.8,9.4,1.2,51,103.8,100.1,3.8,2438.4,69.3,1.455,1,0.6,0.198,20,15,0.571,"Pac-12","OR",0.0922980997175961,2
"144","Michigan State",36,39.9,72.3,26.1,57.2,0.456,7.3,19.3,0.378,12.8,17.1,0.75,9.4,26,35.4,15.7,5.7,5,12.8,16.9,0.553,0.52,158.3,29.7,74.2,53.1,60.2,16.3,8.3,13.6,1.3,57.2,105.2,100.5,4.7,2473,68.9,1.602,1.2,0.4,0.224,23,13,0.639,"Big Ten","MI",0.639540262147596,2
"145","Montana",32,40.2,72.2,24.8,54.8,0.453,7,20,0.349,15.6,19.8,0.785,5.8,23.8,29.6,13.1,5.5,2.8,10.3,18.7,0.563,0.517,158.8,18.7,77.3,47.8,52.9,13.8,8,7.7,1.3,49,105.3,97.6,7.7,2193.4,68.3,1.529,1.3,0.5,0.284,18,14,0.563,"Big Sky","MT",0.145832659085751,4
"146","UNC Wilmington",36,40.8,72.1,25.1,59.2,0.424,7.1,21.4,0.333,14.8,19.9,0.743,9.6,22.6,32.2,10.6,7.6,4,10,18,0.526,0.485,150,27.5,68.9,47.5,42.4,12.8,11.1,10.7,1.2,49.1,105,100.4,4.6,2473.4,67.3,1.424,1.1,0.8,0.249,27,9,0.75,"CAA","NC",0.502729721540095,2
"147","Texas Tech",37,40.3,72.1,26.2,55.5,0.472,6.1,18.9,0.321,13.6,19.5,0.698,9.8,25,34.8,13.7,8,3.5,13.5,16.2,0.556,0.526,149.1,32.4,75.2,54.8,52.2,17.2,11.6,12.1,1.3,54.9,104.8,88.2,16.6,2544.6,68.2,1.522,1,0.6,0.245,27,10,0.73,"Big 12","TX",1.27005840581695,3
"148","East Tennessee State",32,40.1,72.1,26.7,60,0.444,8.8,25.1,0.35,10,13.8,0.725,10.4,23.3,33.6,13.1,6.8,2.8,11.2,14.8,0.541,0.517,151.9,30.6,69.7,50,49.2,14.4,10,8.7,1.2,53.5,106.9,108.3,-1.4,2156.2,67.2,1.492,1.2,0.6,0.166,15,17,0.469,"SoCon","TN",0.41945374030075,2
"149","Pennsylvania",28,40.3,72,26.7,59.9,0.446,8.1,24.1,0.335,10.5,14.5,0.728,8.3,25.2,33.5,12.6,5.5,2.3,11.8,17.3,0.539,0.513,150.9,24.4,72.5,48.7,47.3,15,7.9,6,1.2,48.5,102.8,107.7,-4.9,1962.8,69.6,1.473,1.1,0.5,0.176,12,16,0.429,"Ivy","PA",-0.502530337706324,2
"150","Illinois-Chicago",30,40.5,72,26.6,60.5,0.44,9,27.9,0.324,9.7,13.8,0.705,8.4,24.1,32.5,14.7,5.8,4,12,17.2,0.537,0.514,146.9,24.2,73.8,48.3,55.3,15.2,8.2,9.4,1.2,51.1,101.9,103.2,-1.4,2119.6,69.8,1.553,1.2,0.5,0.161,14,16,0.467,"Horizon","IL",-0.728565143927413,2
"151","Seton Hall",32,40.1,71.9,25.3,60.2,0.42,7.3,21.6,0.338,14.1,18.8,0.753,11.5,26,37.4,10.3,7.1,5.4,12.1,15.6,0.521,0.481,151.1,32,71.3,51.8,40.8,14.9,10.2,13.8,1.2,53.5,103.7,95.7,8,2220.1,69.1,1.408,0.9,0.6,0.235,21,11,0.656,"Big East","NJ",0.740661096509664,3
"152","Southern",31,40.1,71.9,25.5,57.9,0.441,6.9,19.5,0.353,14,20.1,0.696,9.2,21.8,31.1,13.4,10.5,2.6,14.5,20.5,0.533,0.5,148.9,27.1,69.7,47.5,52.5,17.7,14.5,7.8,1.2,48.1,99,93.5,5.5,2250.7,72.4,1.525,0.9,0.7,0.242,17,14,0.548,"SWAC","LA",0.0685049622206386,3
"153","South Carolina State",31,40.5,71.8,25.7,65.5,0.393,6.4,21.2,0.3,14.1,20.4,0.689,14.6,26.1,40.7,12.2,6.6,3.6,15,19.8,0.478,0.441,138.1,35.1,73.9,53,47.6,16.7,8.8,10.1,1.1,46.2,95.1,96,-0.9,2341.6,74.7,1.476,0.8,0.4,0.215,15,16,0.484,"MEAC","SC",-1.29960044385438,3
"154","Yale",31,41.5,71.8,25.6,58.1,0.442,6.8,20.9,0.328,13.7,18.6,0.735,8.5,26.5,34.9,12,6.2,3.2,12.9,17.5,0.537,0.501,150.4,24.7,74.1,49.9,46.7,16.2,8.8,9.3,1.2,47.5,101.1,97.3,3.8,2201.9,68.5,1.467,0.9,0.5,0.236,19,12,0.613,"Ivy","CT",-0.0802021471353444,3
"155","Quinnipiac",31,40.1,71.8,25.5,59,0.431,8.9,25.8,0.345,12,15.7,0.765,9.6,24.9,34.5,14.4,6.4,2.1,13,16.7,0.54,0.507,154.1,28.6,72.4,50.8,56.5,16.3,9.1,5.7,1.2,51.3,102.6,102.2,0.5,2168.7,69.7,1.565,1.1,0.5,0.203,14,17,0.452,"MAAC","CT",-0.121840137755019,2
"156","Villanova",38,40.1,71.7,24.3,56.1,0.432,9.3,26,0.359,13.9,16.7,0.83,9.8,23.9,33.7,11.9,6,2.2,9.9,14.9,0.56,0.515,162.1,30.5,72.3,51.7,48.9,13.4,9.3,6.8,1.3,53.7,111.3,97.3,14,2450,64.3,1.489,1.2,0.6,0.247,30,8,0.789,"Big East","PA",1.47230007454108,4
"157","Clemson",33,39,71.7,25.8,56.6,0.456,7.8,21.4,0.363,12.4,16.8,0.736,7.9,25.4,33.3,14.2,5.9,2.3,11,15.8,0.555,0.524,155.4,25,76.4,51.3,55.2,14.6,8.7,7.2,1.3,54.8,106,101.2,4.8,2232.5,69.3,1.552,1.3,0.5,0.219,17,16,0.515,"ACC","SC",0.591953987153687,2
"158","South Alabama",33,40.3,71.6,26.2,56.9,0.46,6.8,20.2,0.337,12.5,18,0.692,9.2,24,33.2,11.9,7,4.9,12.5,16.4,0.547,0.519,148.9,28.3,70.2,49.8,45.5,16.1,10.2,14.2,1.3,52,104.5,93.4,11.1,2261.2,68,1.455,0.9,0.6,0.219,21,12,0.636,"Sun Belt","AL",0.502729721540098,3
"159","Providence",33,40.7,71.5,24.5,56.3,0.435,7.4,21.4,0.344,15.2,20.8,0.728,10.6,26.2,36.8,13.2,5,3.7,11.4,16,0.54,0.5,150.7,31,73.8,52.8,54.1,14.7,7.4,9.6,1.3,53.3,105.8,97.9,7.9,2231.5,66.4,1.541,1.2,0.4,0.269,27,6,0.818,"Big East","RI",0.972644187104996,4
"160","USC Upstate",32,40.3,71.5,25.5,57,0.447,8,22,0.365,12.5,16.5,0.756,7.2,23.9,31.1,13.7,6.3,3.3,12.7,19.1,0.551,0.518,156.8,22.1,71.3,47.1,53.7,16.4,9,9.8,1.3,48.4,101.4,103.8,-2.4,2256.2,70,1.537,1.1,0.5,0.219,15,17,0.469,"Big South","SC",-0.365719797098823,2
"161","Harvard",26,40.6,71.5,26,60.2,0.432,8.5,25.8,0.33,11,15.8,0.693,9.1,24.6,33.7,11.3,7.6,2.4,12.3,15.7,0.528,0.503,145.5,25.1,76.6,49.4,43.6,15.4,10.8,7.3,1.2,48.4,100.8,97.5,3.3,1842.6,69.8,1.436,0.9,0.6,0.182,13,13,0.5,"Ivy","MA",-0.228909256491326,3
"162","Washington State",37,40.1,71.5,24.5,60.5,0.406,8.9,26.7,0.335,13.4,18.1,0.744,11.8,23.8,35.6,11.2,6.4,4.5,11.2,17.4,0.517,0.479,148.4,32.8,71.2,51.3,45.8,14,9.4,12.3,1.2,51,104.5,94.9,9.6,2529.6,68.3,1.458,1,0.6,0.222,22,15,0.595,"Pac-12","WA",0.354022612184121,4
"163","Texas-RGV",31,40,71.4,24.5,55.5,0.441,6.3,20.8,0.304,16.1,23.1,0.695,8.3,24.7,32.9,12.2,5.2,3.2,15.4,20,0.536,0.498,144,24.5,67.9,47,49.9,18.8,7.1,8.5,1.3,43.1,96.7,106.4,-9.8,2288.6,73.9,1.499,0.8,0.3,0.289,8,23,0.258,"WAC","TX",-1.35908328759677,1
"164","Tennessee State",32,40.2,71.3,25.8,57.9,0.445,6.6,18.8,0.35,13.2,18.4,0.715,9.8,24,33.8,12.3,6.8,3.3,13.9,19.1,0.535,0.502,151,29.6,71.8,50.8,47.6,17.2,9.6,9.7,1.2,47.6,101.3,99.7,1.6,2253.7,70.2,1.476,0.9,0.5,0.227,14,18,0.438,"OVC","TN",-0.246754109614041,3
